source,target,weight,shared_events
2160,738,0.0526,1
549,1800,0.0526,1
551,3839,0.0526,1
6193,6430,0.0526,1
6193,738,0.0526,1
2160,991,0.0526,1
2160,1800,0.0526,1
14480,3839,0.0526,1
1800,986,0.0526,1
14480,1314,0.0526,1
738,1800,0.0526,1
72,738,0.0526,1
206,738,0.0526,1
72,1800,0.0526,1
10393,1800,0.0526,1
2160,986,0.0526,1
738,6430,0.0526,1
72,10393,0.0526,1
738,986,0.0526,1
3839,276,0.0526,1
3592,10239,0.05,1
1632,3535,0.05,1
893,3973,0.05,1
3592,652,0.05,1
6207,17027,0.05,1
6207,1451,0.05,1
652,10239,0.05,1
712,329,0.05,1
6353,4825,0.05,1
55,959,0.05,1
6353,3535,0.05,1
1632,4825,0.05,1
4825,3535,0.05,1
426,10239,0.0476,1
789,2374,0.0476,1
2138,2374,0.0476,1
1182,426,0.0476,1
1182,10239,0.0476,1
13862,480,0.0476,1
13862,10140,0.0476,1
13862,14480,0.0476,1
35,10239,0.0476,1
35,1685,0.0476,1
2213,2374,0.0476,1
6403,1885,0.0476,1
1685,1182,0.0476,1
1685,10239,0.0476,1
2,683,0.0455,1
2199,2320,0.0426,2
2206,2320,0.0426,2
2199,403,0.0426,2
2320,403,0.0426,2
4097,4575,0.0417,1
4097,17027,0.0417,1
1632,5245,0.0417,1
1632,17027,0.0417,1
1632,4575,0.0417,1
1632,1710,0.0417,1
1710,2820,0.0417,1
1710,4575,0.0417,1
1710,789,0.0417,1
4097,5245,0.0417,1
3608,2820,0.0417,1
4097,2820,0.0417,1
1038,5245,0.0417,1
1038,1710,0.0417,1
1622,1632,0.0417,1
4097,1710,0.0417,1
1622,1710,0.0417,1
51,17027,0.0417,1
4097,789,0.0417,1
1622,2820,0.0417,1
17027,1710,0.0417,1
584,17027,0.0417,1
584,586,0.0417,1
4097,1632,0.0417,1
4097,1622,0.0417,1
4097,1038,0.0417,1
51,584,0.0417,1
5245,2820,0.0417,1
51,586,0.0417,1
2820,4575,0.0417,1
5245,17027,0.0417,1
5245,1710,0.0417,1
5245,789,0.0417,1
134,303,0.04,1
9253,668,0.04,1
622,329,0.04,1
1038,712,0.04,1
622,2348,0.04,1
2348,329,0.04,1
1038,5111,0.0385,1
2381,4575,0.0374,2
2,2381,0.0374,2
2607,395,0.0374,2
2607,2381,0.0374,2
2,395,0.0374,2
1199,960,0.037,1
1199,344,0.037,1
1199,893,0.037,1
893,960,0.037,1
2160,893,0.037,1
2638,1199,0.037,1
2160,960,0.037,1
549,344,0.037,1
2160,344,0.037,1
2160,1199,0.037,1
55,344,0.037,1
344,893,0.037,1
344,960,0.037,1
549,1199,0.037,1
549,893,0.037,1
549,960,0.037,1
72,1199,0.037,1
72,344,0.037,1
72,893,0.037,1
72,960,0.037,1
2638,893,0.037,1
2138,2309,0.0357,1
2138,5245,0.0357,1
966,1999,0.0357,1
3608,2309,0.0357,1
5245,2309,0.0357,1
5245,2213,0.0357,1
17027,344,0.0345,1
17027,647,0.0345,1
647,344,0.0345,1
13862,1860,0.0323,1
3737,344,0.0323,1
529,3737,0.0323,1
529,2638,0.0323,1
13862,436,0.0323,1
549,1999,0.0294,1
549,789,0.0294,1
789,1999,0.0294,1
1544,2160,0.027,1
1544,530,0.027,1
343,3569,0.0233,1
2,3569,0.0233,1
2309,966,0.0217,1
2199,2336,0.0217,1
2206,2336,0.0217,1
2206,966,0.0217,1
2336,403,0.0217,1
2320,2336,0.0217,1
403,966,0.0217,1
2307,2320,0.0217,1
2307,2309,0.0217,1
2309,2336,0.0217,1
2307,403,0.0217,1
2213,403,0.0217,1
2213,2320,0.0217,1
2213,2307,0.0217,1
2307,2336,0.0217,1
2199,2307,0.0217,1
2336,966,0.0217,1
2309,403,0.0217,1
2309,2320,0.0217,1
2206,2309,0.0217,1
2206,2213,0.0217,1
2199,966,0.0217,1
2199,2213,0.0217,1
2206,2307,0.0217,1
2199,2309,0.0217,1
2213,2336,0.0217,1
2206,2820,0.0208,1
2206,395,0.0208,1
2206,789,0.0208,1
2206,2381,0.0208,1
1038,2199,0.0208,1
2816,789,0.0208,1
17072,789,0.0208,1
2816,403,0.0208,1
2816,2829,0.0208,1
17072,2381,0.0208,1
17072,2320,0.0208,1
17072,1210,0.0208,1
17072,2816,0.0208,1
17072,6353,0.0208,1
17072,2829,0.0208,1
17072,2820,0.0208,1
2199,395,0.0208,1
2199,789,0.0208,1
2199,1210,0.0208,1
2199,2381,0.0208,1
2199,2816,0.0208,1
2199,2820,0.0208,1
1038,403,0.0208,1
1038,1210,0.0208,1
2206,1210,0.0208,1
1210,395,0.0208,1
1210,403,0.0208,1
1210,789,0.0208,1
2820,395,0.0208,1
1632,17072,0.0208,1
2816,2320,0.0208,1
2816,2820,0.0208,1
2820,403,0.0208,1
2816,395,0.0208,1
1038,2206,0.0208,1
17072,395,0.0208,1
17072,403,0.0208,1
6353,2816,0.0208,1
6353,2320,0.0208,1
1038,2816,0.0208,1
1038,6353,0.0208,1
1632,2816,0.0208,1
2820,2829,0.0208,1
2820,2381,0.0208,1
2820,2320,0.0208,1
2199,2829,0.0208,1
2199,6353,0.0208,1
1038,395,0.0208,1
6353,395,0.0208,1
2829,2381,0.0208,1
2829,2320,0.0208,1
6353,2829,0.0208,1
2829,395,0.0208,1
2829,789,0.0208,1
2829,403,0.0208,1
6353,403,0.0208,1
6353,2820,0.0208,1
1210,2381,0.0208,1
1210,2816,0.0208,1
2206,2816,0.0208,1
1038,17072,0.0208,1
2199,17072,0.0208,1
789,403,0.0208,1
2320,395,0.0208,1
2206,17072,0.0208,1
2206,2829,0.0208,1
2206,6353,0.0208,1
1632,403,0.0208,1
1632,395,0.0208,1
1632,1210,0.0208,1
1632,2199,0.0208,1
1632,2206,0.0208,1
1632,2320,0.0208,1
1210,2320,0.0208,1
1210,6353,0.0208,1
1210,2820,0.0208,1
2381,403,0.0208,1
789,395,0.0208,1
1210,2829,0.0208,1
2374,395,0.0161,1
2607,5245,0.0161,1
2607,2374,0.0161,1
5245,395,0.0161,1
3608,2374,0.0161,1
5245,1787,0.0161,1
2374,4575,0.0161,1
5245,2381,0.0161,1
5245,2374,0.0161,1
2,5245,0.0161,1
