source,target,weight,shared_events
549,303,0.4492,4
70,1451,0.4422,4
652,1314,0.4338,3
1240,4021,0.4333,2
2138,1787,0.4266,4
1038,586,0.4242,2
532,5777,0.4206,3
2,6207,0.4179,4
304,4506,0.4167,2
70,893,0.4167,2
5777,304,0.4167,2
763,304,0.4167,2
531,4494,0.4167,2
549,2638,0.4147,4
3737,960,0.4107,3
55,652,0.4103,2
1240,304,0.4048,2
2,4575,0.4043,7
2,7069,0.4029,6
2640,426,0.4028,3
706,304,0.4028,3
531,622,0.4026,3
3592,1185,0.4,2
1185,991,0.4,2
2,26,0.3958,2
2,3545,0.3958,2
303,991,0.3929,2
2,1632,0.3929,2
304,480,0.388,3
1451,966,0.3833,3
531,303,0.3796,3
549,10393,0.3776,3
530,4021,0.375,2
2820,960,0.375,2
2213,4575,0.372,5
529,343,0.3708,4
35,426,0.369,3
1038,343,0.3682,4
549,329,0.3667,2
738,426,0.3667,2
55,1182,0.3667,2
1683,343,0.3636,4
206,426,0.3631,3
72,991,0.3622,3
2,2213,0.3617,5
530,1683,0.3611,2
26,480,0.3611,2
72,3531,0.3588,3
2,4,0.3579,4
1787,966,0.354,3
789,1984,0.35,2
622,991,0.3429,2
2138,789,0.3426,4
3592,531,0.3409,2
2638,652,0.3394,3
2611,1787,0.338,4
622,986,0.3347,3
1063,51,0.3333,1
706,344,0.3333,1
426,966,0.3333,2
1063,1796,0.3333,3
51,622,0.3333,1
683,7108,0.3333,1
959,7108,0.3333,1
26,1063,0.3333,3
35,738,0.3333,1
1199,738,0.3333,1
1240,1265,0.3333,1
51,343,0.3333,1
1787,1451,0.3333,1
329,1451,0.3333,1
1683,1685,0.3333,2
2638,1677,0.3333,1
531,1796,0.3333,1
26,3737,0.3333,1
2,51,0.3333,2
2607,1710,0.3333,1
1063,622,0.3333,1
2607,966,0.3333,1
4097,1787,0.3333,1
7069,966,0.3315,5
2638,10393,0.3296,3
2381,3535,0.3278,3
17027,2820,0.3274,3
531,305,0.3269,2
2160,1362,0.3269,2
531,2160,0.3269,2
426,3531,0.3269,3
1622,789,0.3259,5
532,70,0.3255,3
532,622,0.3255,3
549,3531,0.325,2
2607,1622,0.3244,5
55,960,0.3228,3
3608,2213,0.3219,5
4682,1265,0.3214,2
4682,426,0.3214,2
1240,7108,0.3214,2
530,1265,0.3164,3
1622,2213,0.3155,3
2,4363,0.3143,3
26,966,0.3125,2
529,763,0.3095,2
622,1240,0.3088,2
3608,586,0.3088,2
712,1240,0.3088,2
529,966,0.3088,2
35,3531,0.3088,2
530,2160,0.304,3
72,986,0.3026,2
70,622,0.3017,3
1622,2138,0.3016,3
549,70,0.3,2
2,3609,0.3,2
17027,2381,0.2949,3
549,2640,0.2917,2
4707,304,0.2917,2
10393,712,0.2917,2
72,426,0.2917,2
531,4707,0.2917,2
1685,426,0.2912,3
55,2160,0.2897,3
549,2160,0.2897,3
1622,4575,0.2886,5
395,4575,0.2874,3
1787,395,0.2874,3
5645,991,0.2857,2
4097,134,0.2857,2
960,966,0.2857,2
5645,55,0.2857,2
532,7108,0.2778,2
532,26,0.2778,2
893,426,0.2778,2
26,304,0.2778,2
26,706,0.2778,2
549,304,0.2775,4
2638,329,0.2769,2
1569,55,0.2769,2
1291,7108,0.2734,3
1683,1860,0.2727,3
1860,343,0.2727,3
206,946,0.2714,2
17027,4825,0.2679,2
26,549,0.2667,2
549,4021,0.2667,2
2,4707,0.2667,2
531,343,0.2667,2
1185,1265,0.2588,2
55,72,0.2563,3
329,426,0.2556,2
2,920,0.2553,3
2,55,0.2547,3
549,738,0.2526,2
738,991,0.2526,2
586,17027,0.2502,4
1622,3545,0.25,1
532,303,0.25,1
4506,991,0.25,2
426,1984,0.25,1
1199,1265,0.25,1
1240,4506,0.25,1
1622,2206,0.25,1
3592,4494,0.25,1
3699,1185,0.25,1
3592,305,0.25,1
1632,1984,0.25,1
2206,3545,0.25,1
4682,3531,0.25,1
1182,303,0.25,1
55,70,0.25,1
1683,7108,0.25,1
70,2640,0.25,1
529,2294,0.25,1
549,652,0.25,1
